day,month,year,Precipitation_mm_per_day
1,1,2000,0
2,1,2000,0
3,1,2000,0
4,1,2000,0
5,1,2000,0
6,1,2000,0
7,1,2000,0
8,1,2000,0
9,1,2000,0
10,1,2000,0
11,1,2000,0
12,1,2000,1.251032829
13,1,2000,0
14,1,2000,0
15,1,2000,0
16,1,2000,0
17,1,2000,0
18,1,2000,0
19,1,2000,0
20,1,2000,0
21,1,2000,0
22,1,2000,0
23,1,2000,2.59367156
24,1,2000,0
25,1,2000,0
26,1,2000,0
27,1,2000,0
28,1,2000,0
29,1,2000,5.054329872
30,1,2000,0
31,1,2000,0
1,2,2000,14.14703941
2,2,2000,0
3,2,2000,0
4,2,2000,0
5,2,2000,0
6,2,2000,0
7,2,2000,0
8,2,2000,0
9,2,2000,0
10,2,2000,0
11,2,2000,0.206666484
12,2,2000,0
13,2,2000,0
14,2,2000,0
15,2,2000,0
16,2,2000,0
17,2,2000,0
18,2,2000,0
19,2,2000,0
20,2,2000,0
21,2,2000,0
22,2,2000,0
23,2,2000,0
24,2,2000,0
25,2,2000,0
26,2,2000,0
27,2,2000,0
28,2,2000,0
29,2,2000,0
1,3,2000,0
2,3,2000,0
3,3,2000,0
4,3,2000,0
5,3,2000,0
6,3,2000,0
7,3,2000,0
8,3,2000,0
9,3,2000,0
10,3,2000,0
11,3,2000,0
12,3,2000,0
13,3,2000,2.329399824
14,3,2000,3.524803877
15,3,2000,0
16,3,2000,0
17,3,2000,0
18,3,2000,0
19,3,2000,0
20,3,2000,0
21,3,2000,0
22,3,2000,2.382514954
23,3,2000,3.66183877
24,3,2000,0
25,3,2000,0
26,3,2000,0
27,3,2000,2.318428993
28,3,2000,0
29,3,2000,0
30,3,2000,0
31,3,2000,0
1,4,2000,0
2,4,2000,0
3,4,2000,0
4,4,2000,0
5,4,2000,0
6,4,2000,0
7,4,2000,0
8,4,2000,0
9,4,2000,0
10,4,2000,3.240637302
11,4,2000,0
12,4,2000,0
13,4,2000,0.257402062
14,4,2000,7.828680038
15,4,2000,0
16,4,2000,0
17,4,2000,0
18,4,2000,0
19,4,2000,2.653110743
20,4,2000,25.08558273
21,4,2000,16.54666328
22,4,2000,11.27939606
23,4,2000,11.50616074
24,4,2000,0
25,4,2000,0
26,4,2000,0
27,4,2000,0
28,4,2000,0
29,4,2000,0
30,4,2000,0
1,5,2000,14.96323967
2,5,2000,0
3,5,2000,0
4,5,2000,0
5,5,2000,3.765583992
6,5,2000,4.915071964
7,5,2000,3.543510675
8,5,2000,0
9,5,2000,20.40892029
10,5,2000,0
11,5,2000,15.3765564
12,5,2000,7.086824894
13,5,2000,8.69598484
14,5,2000,0
15,5,2000,8.076363564
16,5,2000,0
17,5,2000,0
18,5,2000,35.23389435
19,5,2000,3.010056734
20,5,2000,0
21,5,2000,0
22,5,2000,0
23,5,2000,0
24,5,2000,0
25,5,2000,0.806663692
26,5,2000,25.51058769
27,5,2000,0.65579927
28,5,2000,25.51058769
29,5,2000,7.272264004
30,5,2000,0
31,5,2000,0
1,6,2000,0
2,6,2000,1.981348872
3,6,2000,0
4,6,2000,5.650247574
5,6,2000,12.914855
6,6,2000,0
7,6,2000,0
8,6,2000,0.565914452
9,6,2000,26.67023468
10,6,2000,21.04229546
11,6,2000,13.89372921
12,6,2000,0
13,6,2000,0
14,6,2000,31.49977875
15,6,2000,19.06119156
16,6,2000,0
17,6,2000,20.24048424
18,6,2000,4.741646767
19,6,2000,6.785058975
20,6,2000,10.32828712
21,6,2000,13.98579693
22,6,2000,0.970929384
23,6,2000,16.63559532
24,6,2000,0
25,6,2000,0
26,6,2000,0
27,6,2000,0
28,6,2000,24.61098671
29,6,2000,4.241700649
30,6,2000,0
1,7,2000,0
2,7,2000,19.03135681
3,7,2000,0
4,7,2000,0
5,7,2000,17.41923141
6,7,2000,30.6359272
7,7,2000,0
8,7,2000,0
9,7,2000,1.293717384
10,7,2000,0
11,7,2000,0
12,7,2000,0
13,7,2000,18.26557541
14,7,2000,33.26264572
15,7,2000,2.29308176
16,7,2000,4.132988453
17,7,2000,27.31513977
18,7,2000,13.07916641
19,7,2000,0
20,7,2000,15.9427042
21,7,2000,11.21829128
22,7,2000,19.707798
23,7,2000,34.2425766
24,7,2000,24.24052429
25,7,2000,19.00691605
26,7,2000,0
27,7,2000,21.21865273
28,7,2000,5.949559212
29,7,2000,0
30,7,2000,0
31,7,2000,11.17224979
1,8,2000,32.25158691
2,8,2000,46.11748886
3,8,2000,42.00296021
4,8,2000,30.78775787
5,8,2000,7.878204346
6,8,2000,20.60539246
7,8,2000,16.55360603
8,8,2000,0
9,8,2000,7.133551121
10,8,2000,32.34735489
11,8,2000,0
12,8,2000,44.31039047
13,8,2000,6.446041107
14,8,2000,0
15,8,2000,0
16,8,2000,0
17,8,2000,14.72683239
18,8,2000,0
19,8,2000,3.42875576
20,8,2000,5.63975668
21,8,2000,0
22,8,2000,3.478837967
23,8,2000,1.39403677
24,8,2000,0
25,8,2000,0
26,8,2000,37.22566605
27,8,2000,0
28,8,2000,0
29,8,2000,14.9790926
30,8,2000,0
31,8,2000,33.68494797
1,9,2000,0
2,9,2000,0
3,9,2000,0
4,9,2000,0
5,9,2000,0
6,9,2000,0
7,9,2000,0
8,9,2000,0
9,9,2000,0
10,9,2000,2.130932093
11,9,2000,0
12,9,2000,0
13,9,2000,0
14,9,2000,120.8393555
15,9,2000,0
16,9,2000,0
17,9,2000,53.5033493
18,9,2000,0
19,9,2000,0
20,9,2000,0
21,9,2000,0
22,9,2000,0
23,9,2000,0
24,9,2000,0
25,9,2000,0
26,9,2000,0
27,9,2000,0
28,9,2000,0
29,9,2000,0
30,9,2000,0
1,10,2000,2.253694534
2,10,2000,0
3,10,2000,0
4,10,2000,0
5,10,2000,2.89817071
6,10,2000,3.086543322
7,10,2000,0
8,10,2000,0
9,10,2000,0
10,10,2000,0.122629784
11,10,2000,0
12,10,2000,0
13,10,2000,0
14,10,2000,0
15,10,2000,0
16,10,2000,0
17,10,2000,0
18,10,2000,0
19,10,2000,0
20,10,2000,0.130612269
21,10,2000,2.446401596
22,10,2000,2.94521451
23,10,2000,0
24,10,2000,0
25,10,2000,0
26,10,2000,0
27,10,2000,0
28,10,2000,13.015769
29,10,2000,0
30,10,2000,0
31,10,2000,0
1,11,2000,0
2,11,2000,0
3,11,2000,0
4,11,2000,0
5,11,2000,0
6,11,2000,0
7,11,2000,0
8,11,2000,0
9,11,2000,0
10,11,2000,0
11,11,2000,0
12,11,2000,0
13,11,2000,0
14,11,2000,0
15,11,2000,0
16,11,2000,0
17,11,2000,0
18,11,2000,0
19,11,2000,0
20,11,2000,0
21,11,2000,0
22,11,2000,0
23,11,2000,0
24,11,2000,0
25,11,2000,0
26,11,2000,0
27,11,2000,0
28,11,2000,0
29,11,2000,0
30,11,2000,0
1,12,2000,0
2,12,2000,0
3,12,2000,0
4,12,2000,0
5,12,2000,0.037461627
6,12,2000,0
7,12,2000,0
8,12,2000,0
9,12,2000,0
10,12,2000,0.073928289
11,12,2000,0
12,12,2000,0
13,12,2000,0
14,12,2000,0
15,12,2000,0
16,12,2000,0
17,12,2000,0
18,12,2000,0
19,12,2000,0
20,12,2000,0
21,12,2000,0
22,12,2000,0
23,12,2000,0
24,12,2000,0
25,12,2000,0
26,12,2000,0
27,12,2000,0
28,12,2000,0
29,12,2000,0
30,12,2000,0
31,12,2000,6.946609497
1,1,2001,0.442516059
2,1,2001,0
3,1,2001,0
4,1,2001,0
5,1,2001,0
6,1,2001,0
7,1,2001,0
8,1,2001,0
9,1,2001,0
10,1,2001,0
11,1,2001,0
12,1,2001,0
13,1,2001,0
14,1,2001,0
15,1,2001,0
16,1,2001,0
17,1,2001,0
18,1,2001,0
19,1,2001,0
20,1,2001,0
21,1,2001,0
22,1,2001,4.324456692
23,1,2001,0
24,1,2001,0
25,1,2001,0
26,1,2001,0
27,1,2001,0
28,1,2001,0
29,1,2001,0
30,1,2001,0
31,1,2001,3.068964958
1,2,2001,0
2,2,2001,0
3,2,2001,0
4,2,2001,0
5,2,2001,0
6,2,2001,0
7,2,2001,0
8,2,2001,0
9,2,2001,0
10,2,2001,0
11,2,2001,0
12,2,2001,0
13,2,2001,0
14,2,2001,0
15,2,2001,0.426966488
16,2,2001,1.159402132
17,2,2001,0
18,2,2001,0
19,2,2001,0
20,2,2001,0.063345626
21,2,2001,0
22,2,2001,0
23,2,2001,0
24,2,2001,0
25,2,2001,9.259766579
26,2,2001,0
27,2,2001,0
28,2,2001,0
1,3,2001,0
2,3,2001,0
3,3,2001,0
4,3,2001,0
5,3,2001,8.452109337
6,3,2001,0.155221298
7,3,2001,0
8,3,2001,0
9,3,2001,0
10,3,2001,0
11,3,2001,0
12,3,2001,0
13,3,2001,0
14,3,2001,0
15,3,2001,0
16,3,2001,0
17,3,2001,0
18,3,2001,0
19,3,2001,0
20,3,2001,0
21,3,2001,4.73854351
22,3,2001,4.73854351
23,3,2001,0
24,3,2001,0
25,3,2001,0
26,3,2001,0
27,3,2001,0
28,3,2001,0
29,3,2001,0
30,3,2001,4.438527107
31,3,2001,0.10822089
1,4,2001,0
2,4,2001,0
3,4,2001,0
4,4,2001,0
5,4,2001,0
6,4,2001,0
7,4,2001,0
8,4,2001,0
9,4,2001,0
10,4,2001,0
11,4,2001,0
12,4,2001,1.430585146
13,4,2001,17.20555687
14,4,2001,0
15,4,2001,8.843585968
16,4,2001,0
17,4,2001,0
18,4,2001,0
19,4,2001,0
20,4,2001,0
21,4,2001,0
22,4,2001,0
23,4,2001,0
24,4,2001,0
25,4,2001,0.89022094
26,4,2001,1.101920962
27,4,2001,13.76071453
28,4,2001,6.43203783
29,4,2001,9.344631195
30,4,2001,12.28523159
1,5,2001,3.172458887
2,5,2001,3.085890293
3,5,2001,36.26084518
4,5,2001,0
5,5,2001,0
6,5,2001,23.01405716
7,5,2001,5.228506088
8,5,2001,9.214437485
9,5,2001,7.444631577
10,5,2001,11.34581661
11,5,2001,0
12,5,2001,0
13,5,2001,0
14,5,2001,25.32810211
15,5,2001,0
16,5,2001,0
17,5,2001,7.754433632
18,5,2001,0
19,5,2001,0
20,5,2001,0
21,5,2001,0
22,5,2001,0
23,5,2001,0
24,5,2001,9.399880409
25,5,2001,17.07021904
26,5,2001,0
27,5,2001,0
28,5,2001,0
29,5,2001,29.45956993
30,5,2001,0
31,5,2001,0
1,6,2001,0
2,6,2001,0
3,6,2001,28.08012772
4,6,2001,0
5,6,2001,1.025129795
6,6,2001,5.490766525
7,6,2001,0
8,6,2001,0
9,6,2001,5.436460972
10,6,2001,0
11,6,2001,6.12600565
12,6,2001,9.791637421
13,6,2001,21.7634182
14,6,2001,10.33737755
15,6,2001,0
16,6,2001,0
17,6,2001,7.541900158
18,6,2001,14.68704605
19,6,2001,0
20,6,2001,0
21,6,2001,0
22,6,2001,0
23,6,2001,13.70185089
24,6,2001,0
25,6,2001,0
26,6,2001,2.632178068
27,6,2001,0.549703479
28,6,2001,22.21549034
29,6,2001,21.40620041
30,6,2001,20.8339119
1,7,2001,3.529276133
2,7,2001,0
3,7,2001,0
4,7,2001,48.92880249
5,7,2001,0
6,7,2001,17.80503654
7,7,2001,0
8,7,2001,13.31719685
9,7,2001,0
10,7,2001,3.514394522
11,7,2001,0
12,7,2001,0
13,7,2001,21.95736885
14,7,2001,15.36289597
15,7,2001,0
16,7,2001,4.833039761
17,7,2001,2.622184038
18,7,2001,16.89416313
19,7,2001,29.68464088
20,7,2001,49.10229111
21,7,2001,5.651713848
22,7,2001,0.802965999
23,7,2001,0
24,7,2001,24.58825684
25,7,2001,14.80317593
26,7,2001,51.07074356
27,7,2001,0
28,7,2001,12.18292999
29,7,2001,0
30,7,2001,0
31,7,2001,1.079797506
1,8,2001,0
2,8,2001,15.68827534
3,8,2001,0.65909338
4,8,2001,0.664152741
5,8,2001,0
6,8,2001,9.388161659
7,8,2001,17.96866798
8,8,2001,2.483025551
9,8,2001,15.54338455
10,8,2001,25.15743446
