day,month,year,Precipitation_mm_per_day
1,1,2000,0
2,1,2000,0
3,1,2000,0
4,1,2000,0
5,1,2000,0
6,1,2000,0
7,1,2000,0
8,1,2000,0
9,1,2000,0
10,1,2000,0
11,1,2000,0
12,1,2000,3.140477
13,1,2000,0
14,1,2000,0
15,1,2000,0
16,1,2000,0
17,1,2000,0
18,1,2000,0
19,1,2000,0
20,1,2000,0
21,1,2000,0
22,1,2000,0
23,1,2000,0
24,1,2000,0
25,1,2000,0
26,1,2000,0
27,1,2000,0.687319
28,1,2000,1.977119
29,1,2000,1.004073
30,1,2000,0
31,1,2000,0
1,2,2000,9.813734
2,2,2000,0
3,2,2000,0
4,2,2000,0
5,2,2000,0
6,2,2000,0
7,2,2000,0
8,2,2000,0
9,2,2000,0
10,2,2000,0
11,2,2000,1.755765
12,2,2000,0
13,2,2000,0
14,2,2000,0
15,2,2000,0
16,2,2000,0
17,2,2000,0
18,2,2000,0
19,2,2000,0
20,2,2000,0
21,2,2000,0
22,2,2000,0
23,2,2000,0
24,2,2000,0
25,2,2000,0
26,2,2000,0
27,2,2000,0
28,2,2000,0
29,2,2000,0
1,3,2000,0
2,3,2000,0
3,3,2000,0
4,3,2000,0
5,3,2000,0
6,3,2000,0
7,3,2000,0
8,3,2000,0
9,3,2000,0
10,3,2000,0
11,3,2000,0
12,3,2000,0
13,3,2000,0.705372
14,3,2000,0.818079
15,3,2000,0
16,3,2000,0
17,3,2000,0
18,3,2000,0
19,3,2000,0
20,3,2000,0
21,3,2000,0
22,3,2000,0
23,3,2000,0.769967
24,3,2000,0
25,3,2000,0
26,3,2000,0
27,3,2000,13.8178
28,3,2000,0
29,3,2000,0
30,3,2000,0
31,3,2000,0
1,4,2000,0
2,4,2000,0
3,4,2000,0
4,4,2000,0
5,4,2000,0
6,4,2000,0
7,4,2000,0
8,4,2000,0
9,4,2000,0
10,4,2000,0
11,4,2000,0
12,4,2000,0
13,4,2000,3.372169
14,4,2000,11.42259
15,4,2000,0
16,4,2000,0
17,4,2000,0
18,4,2000,4.092484
19,4,2000,0
20,4,2000,18.21492
21,4,2000,0.94672
22,4,2000,20.83104
23,4,2000,20.83104
24,4,2000,0
25,4,2000,0
26,4,2000,0
27,4,2000,0
28,4,2000,0
29,4,2000,0.527022
30,4,2000,0
1,5,2000,13.44649
2,5,2000,0
3,5,2000,0
4,5,2000,0
5,5,2000,0
6,5,2000,17.46313
7,5,2000,12.01432
8,5,2000,0
9,5,2000,1.273334
10,5,2000,0
11,5,2000,7.994068
12,5,2000,0
13,5,2000,7.994068
14,5,2000,0
15,5,2000,14.07938
16,5,2000,0
17,5,2000,0
18,5,2000,25.03857
19,5,2000,0
20,5,2000,0
21,5,2000,0
22,5,2000,0
23,5,2000,0
24,5,2000,0
25,5,2000,27.70055
26,5,2000,30.02147
27,5,2000,3.028228
28,5,2000,30.02147
29,5,2000,0
30,5,2000,0.567792
31,5,2000,0
1,6,2000,0
2,6,2000,0
3,6,2000,0
4,6,2000,0
5,6,2000,18.41958
6,6,2000,0
7,6,2000,0
8,6,2000,0
9,6,2000,19.88074
10,6,2000,31.00426
11,6,2000,0
12,6,2000,0.452621
13,6,2000,0
14,6,2000,30.59263
15,6,2000,23.14886
16,6,2000,0
17,6,2000,26.02255
18,6,2000,3.356981
19,6,2000,14.39766
20,6,2000,14.2779
21,6,2000,5.797766
22,6,2000,0
23,6,2000,0
24,6,2000,0
25,6,2000,4.430164
26,6,2000,0
27,6,2000,3.390572
28,6,2000,16.6458
29,6,2000,0
30,6,2000,8.394711
1,7,2000,0
2,7,2000,3.931828
3,7,2000,9.911047
4,7,2000,0
5,7,2000,3.35544
6,7,2000,34.78198
7,7,2000,0
8,7,2000,0
9,7,2000,9.0364
10,7,2000,9.131091
11,7,2000,3.216737
12,7,2000,11.53
13,7,2000,33.90115
14,7,2000,13.29958
15,7,2000,11.03731
16,7,2000,6.974525
17,7,2000,39.72225
18,7,2000,0
19,7,2000,0
20,7,2000,15.97738
21,7,2000,13.37745
22,7,2000,13.37232
23,7,2000,25.04631
24,7,2000,21.12207
25,7,2000,17.18081
26,7,2000,0
27,7,2000,8.998434
28,7,2000,26.99784
29,7,2000,0
30,7,2000,13.5864
31,7,2000,6.866409
1,8,2000,18.75456
2,8,2000,34.76733
3,8,2000,19.84998
4,8,2000,11.16161
5,8,2000,4.645781
6,8,2000,14.40338
7,8,2000,37.89871
8,8,2000,22.71879
9,8,2000,8.61357
10,8,2000,20.08903
11,8,2000,0
12,8,2000,26.18723
13,8,2000,19.5341
14,8,2000,0.974194
15,8,2000,0
16,8,2000,0
17,8,2000,7.510267
18,8,2000,6.136289
19,8,2000,0
20,8,2000,0.843112
21,8,2000,0
22,8,2000,7.709055
23,8,2000,21.51727
24,8,2000,2.178162
25,8,2000,9.308008
26,8,2000,30.90871
27,8,2000,1.027089
28,8,2000,0
29,8,2000,0
30,8,2000,0.8982
31,8,2000,27.75144
1,9,2000,0
2,9,2000,0
3,9,2000,2.363685
4,9,2000,5.785385
5,9,2000,0
6,9,2000,0
7,9,2000,0
8,9,2000,17.69049
9,9,2000,0
10,9,2000,0
11,9,2000,0
12,9,2000,0
13,9,2000,0
14,9,2000,77.57803
15,9,2000,8.969926
16,9,2000,0
17,9,2000,43.05472
18,9,2000,9.514327
19,9,2000,0
20,9,2000,0
21,9,2000,0
22,9,2000,0
23,9,2000,0
24,9,2000,0
25,9,2000,0
26,9,2000,0
27,9,2000,0
28,9,2000,0
29,9,2000,0
30,9,2000,0
1,10,2000,5.643381
2,10,2000,0
3,10,2000,0
4,10,2000,0
5,10,2000,0
6,10,2000,0
7,10,2000,0
8,10,2000,0.558481
9,10,2000,0
10,10,2000,0
11,10,2000,0
12,10,2000,0
13,10,2000,0
14,10,2000,0
15,10,2000,0
16,10,2000,0
17,10,2000,0
18,10,2000,0
19,10,2000,0
20,10,2000,2.073931
21,10,2000,0
22,10,2000,2.899658
23,10,2000,3.980388
24,10,2000,0
25,10,2000,0
26,10,2000,5.291122
27,10,2000,1.0286
28,10,2000,4.75103
29,10,2000,0
30,10,2000,0
31,10,2000,0
1,11,2000,0
2,11,2000,0
3,11,2000,0
4,11,2000,0
5,11,2000,0
6,11,2000,0
7,11,2000,0
8,11,2000,0
9,11,2000,0
10,11,2000,0
11,11,2000,0
12,11,2000,0
13,11,2000,0
14,11,2000,0
15,11,2000,0
16,11,2000,0
17,11,2000,0
18,11,2000,0
19,11,2000,0
20,11,2000,0
21,11,2000,0
22,11,2000,0
23,11,2000,0
24,11,2000,0
25,11,2000,0
26,11,2000,0
27,11,2000,0
28,11,2000,0
29,11,2000,0
30,11,2000,0
1,12,2000,0
2,12,2000,0
3,12,2000,0
4,12,2000,0
5,12,2000,0
6,12,2000,0
7,12,2000,0
8,12,2000,0
9,12,2000,0
10,12,2000,0.077503
11,12,2000,0
12,12,2000,0
13,12,2000,0
14,12,2000,0
15,12,2000,0
16,12,2000,0
17,12,2000,0
18,12,2000,0
19,12,2000,0
20,12,2000,0
21,12,2000,0
22,12,2000,0
23,12,2000,0
24,12,2000,0
25,12,2000,0
26,12,2000,0
27,12,2000,0
28,12,2000,0
29,12,2000,0
30,12,2000,0.022278
31,12,2000,6.851744
1,1,2001,0
2,1,2001,1.209511
3,1,2001,0
4,1,2001,0
5,1,2001,0
6,1,2001,0
7,1,2001,0
8,1,2001,0
9,1,2001,0
10,1,2001,0
11,1,2001,0
12,1,2001,0
13,1,2001,0
14,1,2001,0
15,1,2001,0
16,1,2001,0
17,1,2001,0
18,1,2001,0
19,1,2001,0
20,1,2001,0
21,1,2001,0
22,1,2001,3.994407
23,1,2001,4.107673
24,1,2001,0
25,1,2001,0
26,1,2001,0
27,1,2001,0
28,1,2001,0
29,1,2001,0
30,1,2001,0
31,1,2001,0
1,2,2001,0
2,2,2001,0
3,2,2001,0
4,2,2001,0
5,2,2001,0
6,2,2001,0
7,2,2001,0
8,2,2001,0
9,2,2001,0
10,2,2001,0
11,2,2001,0
12,2,2001,0
13,2,2001,0
14,2,2001,0
15,2,2001,1.422508
16,2,2001,0
17,2,2001,0
18,2,2001,0
19,2,2001,0
20,2,2001,0
21,2,2001,2.835308
22,2,2001,0
23,2,2001,0
24,2,2001,0
25,2,2001,9.134311
26,2,2001,0.010686
27,2,2001,0
28,2,2001,0
1,3,2001,0
2,3,2001,0
3,3,2001,0
4,3,2001,0
5,3,2001,7.063594
6,3,2001,0
7,3,2001,0
8,3,2001,0
9,3,2001,0
10,3,2001,0
11,3,2001,0
12,3,2001,0
13,3,2001,0
14,3,2001,1.417698
15,3,2001,0
16,3,2001,0
17,3,2001,0
18,3,2001,0
19,3,2001,0
20,3,2001,0
21,3,2001,2.063639
22,3,2001,7.253265
23,3,2001,0
24,3,2001,0.300879
25,3,2001,0
26,3,2001,0
27,3,2001,0
28,3,2001,0
29,3,2001,0
30,3,2001,2.556823
31,3,2001,4.26497
1,4,2001,3.562082
2,4,2001,0
3,4,2001,0
4,4,2001,0
5,4,2001,0
6,4,2001,0
7,4,2001,0
8,4,2001,0
9,4,2001,0
10,4,2001,0
11,4,2001,0
12,4,2001,0
13,4,2001,17.32918
14,4,2001,0
15,4,2001,6.817954
16,4,2001,0
17,4,2001,0
18,4,2001,0
19,4,2001,0
20,4,2001,0
21,4,2001,0
22,4,2001,0
23,4,2001,0
24,4,2001,0
25,4,2001,5.316288
26,4,2001,6.713418
27,4,2001,12.60597
28,4,2001,3.630504
29,4,2001,12.60597
30,4,2001,6.077448
1,5,2001,16.77828
2,5,2001,16.38285
3,5,2001,20.32458
4,5,2001,0
5,5,2001,0
6,5,2001,30.73045
7,5,2001,0
8,5,2001,1.853928
9,5,2001,6.886804
10,5,2001,13.16752
11,5,2001,0
12,5,2001,0
13,5,2001,0
14,5,2001,3.373363
15,5,2001,0
16,5,2001,0
17,5,2001,3.565664
18,5,2001,0
19,5,2001,0
20,5,2001,0
21,5,2001,0
22,5,2001,0
23,5,2001,0
24,5,2001,9.673325
25,5,2001,11.79238
26,5,2001,0
27,5,2001,0
28,5,2001,0
29,5,2001,32.71127
30,5,2001,0
31,5,2001,0
1,6,2001,0
2,6,2001,5.419014
3,6,2001,13.64171
4,6,2001,0
5,6,2001,13.23676
6,6,2001,0
7,6,2001,0
8,6,2001,0
9,6,2001,4.480182
10,6,2001,0
11,6,2001,0
12,6,2001,13.88626
13,6,2001,28.01549
14,6,2001,4.701459
15,6,2001,4.010091
16,6,2001,0
17,6,2001,0
18,6,2001,19.49789
19,6,2001,15.23393
20,6,2001,0
21,6,2001,3.767852
22,6,2001,7.793784
23,6,2001,12.38566
24,6,2001,3.937738
25,6,2001,0
26,6,2001,6.875021
27,6,2001,14.24651
28,6,2001,24.08559
29,6,2001,16.20142
30,6,2001,17.96006
1,7,2001,2.202389
2,7,2001,0
3,7,2001,18.23681
4,7,2001,47.22766
5,7,2001,0
6,7,2001,4.362556
7,7,2001,0
8,7,2001,40.07751
9,7,2001,0
10,7,2001,0
11,7,2001,14.46801
12,7,2001,19.97549
13,7,2001,35.99052
14,7,2001,0
15,7,2001,0
16,7,2001,4.083033
17,7,2001,4.467083
18,7,2001,27.13112
19,7,2001,23.83332
20,7,2001,48.40149
21,7,2001,0
22,7,2001,0
23,7,2001,0
24,7,2001,26.59243
25,7,2001,9.528646
26,7,2001,3.098254
27,7,2001,0
28,7,2001,42.47524
29,7,2001,10.24096
30,7,2001,0
31,7,2001,9.475596
1,8,2001,0
2,8,2001,27.72268
3,8,2001,7.901882
4,8,2001,1.109188
5,8,2001,0
6,8,2001,12.11392
7,8,2001,8.481109
8,8,2001,18.6214
9,8,2001,0.575867
10,8,2001,21.78255
11,8,2001,19.77748
12,8,2001,26.03561
13,8,2001,10.23606
14,8,2001,3.786463
15,8,2001,0
16,8,2001,14.17204
17,8,2001,25.51351
18,8,2001,16.03592
19,8,2001,5.348334
20,8,2001,3.474995
21,8,2001,0
22,8,2001,27.96032
23,8,2001,20.1343
